2D First,Participant,Condition,Order,Observations,proportion,count,"Enjoy -  Any verbal expression of enjoyment (laugh, like, fun)","Not Enjoy - any verbal expression/word of non-enjoyment (sigh, frustration, dislike, uncomfort)",Memorability - received via email,Rationale - about their rationale for picking the shapes,Perception - about different ways they perceive the pictograph or shape or 2d or vr,Estimation - About their strategy of estimation of proportions or quantities,Challenging - Indication that it was difficult challenging for them,"Experience - Reference to an Experience, lived or not",Memory of Past Experience,World - Reference to the Real World,Senses - Referece to Physical Senses,Abstract - Reference to Abstract Concepts/Emotions,Symbolism - conventional representations,Personal - Making it personal,Aesthetics,Order effect - Influenced/inspired by the previous conditions
1,P11,VR-C,38,"A lot of these feel negative. The spiral are tangled up and complicated, flowery but not. Skiky and incomfortable. “it looks like each of them hurt”",,,,,,1,,,,,,1,1,,,,,
1,P13,VR-D,46,"Feels cosy, Like a playing cat",,,,,,,,,,1,,1,?,,,,,
1,P9,VR-D,35,Im going to go with green. For some reason im feeling like nature. I don’t know why. Im going to do ome happy explosive shape that looks good to me,,,,,,,,,,1,,1,,1,,,,
1,P7,2D-C,25,Tear drops because then it’s the crying.,,,,,,,,,,1,,1,,,,,,
0,P8,2D-D,24,"Sad: red color, in my room somewhere, one corner of the room.",,,,,,,,,,1,,1,,,,,,
0,P12,VR-C,14,"Lot of curvature with positive. Neutral mostly flat lines. Scandivanian modern design. More neutral. Point. Remind of public parc, so people don’t spend time on benches or something.",,,,,,,,,,1,,1,,,,,,
1,P7,VR-C,75,"Too happy of a color, ball something to play with",,,,,,,,,,1,,1,,,,,,
0,P2,VR-D,19,its like i am a weird street artist,,,,,,,,,,1,,1,,,,,,
1,P13,VR-D,44,Happy kitten playing with a string of wool,,,1,,,,,,,1,,1,,,,,,
1,P3,VR-D,48,Good for people that want to fill like they are 3 year old again. Like a giant paint brush or crayon again.,,,,,,,,,,1,,1,,,,,,
0,P8,2D-C,33,Positive definitely flowers – I feel they represent beauty and positive feeling.,,,,,,,,,,,,1,,1,,,,
0,P8,2D-C,35,"For the negative it is going to be the spiral. Going down the spiral, the bad road. I did not want to choose the spikey one because it was more of a star spaklying star to me.",,,,,,,,,,,,1,,1,,,,
1,P13,2D-D,17,[points to neutral blue wavy lines] Peace water sky,,,,,,,,,,,,1,,1,,,,
0,P8,VR-C,17,More spiky or turbulence in my life. The star spikes makes me represent these thorns,,,,,,,,,,,,1,,1,,,,
1,P5,VR-C,70,Drops are uplifting,,,,,,,,,,,,1,,1,,,,
1,P5,VR-D,109,It’s a pile of sadness – orange,,,1,,,,,,,,,1,,1,,,,
1,P13,2D-D,15,All of it orange. Alckmost feel a bucket of happiness. See the stuffs I like.,,,,,,1,,,,,,1,,?,,,,
1,P3,2D-C,13,"Picking one at random – to see the mechanics of the interface. + sign that would be the one I would lean towards, also when you were showing. It’s a shape that is not filling the entire space. But then it just looks like a wall of bricks but its less engaging. I tried the line ones, but they just get lost, do not really convey any weight really.",,,,,,,1,,,,,1,,,1,,,
0,P10,2D-C,27,I like the concentric circles. It looks like a light. Now it looks like an eyeball in pattern. Curious what the square spiral looks like. Kind of fun. Like seeing this guys <symbols>. It reminds me of regular infographics but its not fun in anyways. The squiggly line is not helpful looks like a long line.,,,,,,,1,,,,,1,,,1,,,
1,P5,2D-C,8,Easy was to see how big it got. These icons will take up the same amount. I don’t like rain so that is not really a thing for me.,,,,,,,,,,,,1,,,1,,,
0,P8,2D-C,36,"Final shapes: flower, minus, spiral",,,,,,,,,,,,1,,,1,,,
0,P4,VR-D,15,"Sun – cloud – almost like weather-like so Im trying to think, what other shapes",,,,,,,,,,,,1,,,1,,,
1,P7,VR-D,51,I was going to do exclamation point but now it looks like a cactus,,,,,,,,,,,,1,,,1,,,
0,P8,VR-D,8,"Neutral. I personally like blue or yellow. So yellow. When im thinking of neutral, im thinking of . just a shape or a square.  Emoji sign sign up for positive. Thumbs down for negative. Neutral make a hand. But I don’t really know how to draw. Ill go with emojis",,,,,,,,,1,,,1,,,2,,,
